Gemeentecode 2022,CBS statcode,Gemeente 2022
0824,GM0824,Oisterwijk
1895,GM1895,Oldambt
0269,GM0269,Oldebroek
0173,GM0173,Oldenzaal
1773,GM1773,Olst-Wijhe
0175,GM0175,Ommen
1586,GM1586,Oost Gelre
0826,GM0826,Oosterhout
0085,GM0085,Ooststellingwerf
0431,GM0431,Oostzaan
0432,GM0432,Opmeer
0086,GM0086,Opsterland
0828,GM0828,Oss
1509,GM1509,Oude IJsselstreek
0437,GM0437,Ouder-Amstel
0589,GM0589,Oudewater
1734,GM1734,Overbetuwe
0590,GM0590,Papendrecht
1894,GM1894,Peel en Maas
0765,GM0765,Pekela
1926,GM1926,Pijnacker-Nootdorp
0439,GM0439,Purmerend
0273,GM0273,Putten
0177,GM0177,Raalte
0703,GM0703,Reimerswaal
0274,GM0274,Renkum
0339,GM0339,Renswoude
1667,GM1667,Reusel-De Mierden
0275,GM0275,Rheden
0340,GM0340,Rhenen
0597,GM0597,Ridderkerk
1742,GM1742,Rijssen-Holten
0603,GM0603,Rijswijk
1669,GM1669,Roerdalen
0957,GM0957,Roermond
1674,GM1674,Roosendaal
0599,GM0599,Rotterdam
0277,GM0277,Rozendaal
0840,GM0840,Rucphen
0441,GM0441,Schagen
0279,GM0279,Scherpenzeel
0606,GM0606,Schiedam
0088,GM0088,Schiermonnikoog
1676,GM1676,Schouwen-Duiveland
0965,GM0965,Simpelveld
0845,GM0845,Sint-Michielsgestel
1883,GM1883,Sittard-Geleen
0610,GM0610,Sliedrecht
1714,GM1714,Sluis
0090,GM0090,Smallingerland
0342,GM0342,Soest
0847,GM0847,Someren
0848,GM0848,Son en Breugel
0037,GM0037,Stadskanaal
0180,GM0180,Staphorst
0532,GM0532,Stede Broec
0851,GM0851,Steenbergen
1708,GM1708,Steenwijkerland
0971,GM0971,Stein
1904,GM1904,Stichtse Vecht
1900,GM1900,Súdwest-Fryslân
0715,GM0715,Terneuzen
0093,GM0093,Terschelling
0448,GM0448,Texel
1525,GM1525,Teylingen
0716,GM0716,Tholen
0281,GM0281,Tiel
0855,GM0855,Tilburg
0183,GM0183,Tubbergen
1700,GM1700,Twenterand
1730,GM1730,Tynaarlo
0737,GM0737,Tytsjerksteradiel
0450,GM0450,Uitgeest
0451,GM0451,Uithoorn
0184,GM0184,Urk
0344,GM0344,Utrecht
1581,GM1581,Utrechtse Heuvelrug
0981,GM0981,Vaals
0994,GM0994,Valkenburg aan de Geul
0858,GM0858,Valkenswaard
0047,GM0047,Veendam
0345,GM0345,Veenendaal
0717,GM0717,Veere
0861,GM0861,Veldhoven
0453,GM0453,Velsen
0983,GM0983,Venlo
0984,GM0984,Venray
1961,GM1961,Vijfheerenlanden
0622,GM0622,Vlaardingen
0096,GM0096,Vlieland
0718,GM0718,Vlissingen
0986,GM0986,Voerendaal
0626,GM0626,Voorschoten
0285,GM0285,Voorst
0865,GM0865,Vught
1949,GM1949,Waadhoeke
0866,GM0866,Waalre
0867,GM0867,Waalwijk
0627,GM0627,Waddinxveen
0289,GM0289,Wageningen
0629,GM0629,Wassenaar
0852,GM0852,Waterland
0988,GM0988,Weert
0457,GM0457,Weesp
1960,GM1960,West Betuwe
0668,GM0668,West Maas en Waal
1969,GM1969,Westerkwartier
1701,GM1701,Westerveld
0293,GM0293,Westervoort
1950,GM1950,Westerwolde
1783,GM1783,Westland
0098,GM0098,Weststellingwerf
0614,GM0614,Westvoorne
0189,GM0189,Wierden
0296,GM0296,Wijchen
1696,GM1696,Wijdemeren
0352,GM0352,Wijk bij Duurstede
0294,GM0294,Winterswijk
0873,GM0873,Woensdrecht
0632,GM0632,Woerden
0880,GM0880,Wormerland
0351,GM0351,Woudenberg
0479,GM0479,Zaanstad
0297,GM0297,Zaltbommel
0473,GM0473,Zandvoort
0050,GM0050,Zeewolde
0355,GM0355,Zeist
0299,GM0299,Zevenaar
0637,GM0637,Zoetermeer
0638,GM0638,Zoeterwoude
1892,GM1892,Zuidplas
0879,GM0879,Zundert
0301,GM0301,Zutphen
1896,GM1896,Zwartewaterland
0642,GM0642,Zwijndrecht
0193,GM0193,Zwolle
